,species_common_name,period,ace_transfer_price,starting_year,fishing_year,wt_ace_2,wt_ace_1
285,Blue Warehou,Starting Oct 2015,0.387282471,2015,2016,,0.290461853
286,Blue Warehou,Starting Oct 2016,0.359992256,2016,2016,0.089998064,
286,Blue Warehou,Starting Oct 2016,0.359992256,2016,2017,,0.269994192
287,Blue Warehou,Starting Oct 2017,0.311164532,2017,2017,0.077791133,
287,Blue Warehou,Starting Oct 2017,0.311164532,2017,2018,,0.233373399
288,Blue Warehou,Starting Oct 2018,0.293515789,2018,2018,0.073378947,
288,Blue Warehou,Starting Oct 2018,0.293515789,2018,2019,,0.220136842
289,Blue Warehou,Starting Oct 2019,0.327326653,2019,2019,0.081831663,
289,Blue Warehou,Starting Oct 2019,0.327326653,2019,2020,,0.245494989
290,Blue Warehou,Starting Oct 2020,0.310189133,2020,2020,0.077547283,
290,Blue Warehou,Starting Oct 2020,0.310189133,2020,2021,,0.23264185
291,Blue Warehou,Starting Oct 2021,0.2852,2021,2021,0.0713,
291,Blue Warehou,Starting Oct 2021,0.2852,2021,2022,,0.2139
292,Bluenose,Starting Oct 2001,1.350747639,2001,2001,0.33768691,
